Si,Al,Fe,Log(initial permeability),Log(max permeability),Losses,Remanent induction,Coercivity,Saturation polarization,Resistivity
11.6,5.4,83,7.170119543,8.431635303,293,1950,19.89,,98.5
8.4,6.1,85.5,8.699514748,10.02127059,331,4600,8.75,,76.5
9.2,6.2,84.6,9.104979856,10.71441777,151,4300,5.57,,
9.4,6.1,84.5,9.546812609,11.22524339,87,4200,3.34,0.882,
9.7,6.2,84.1,10.21464198,11.99535161,29,4350,1.59,,
10.3,6.1,83.6,8.809862805,9.952277717,92,3500,7.16,,110.4
10.7,6.2,83.1,7.972466016,8.242756346,16,130,2.39,,
0,6.6,93.4,5.991464547,8.411832676,2072,5820,53.32,1.887,
0.5,6.5,93,6.309918278,8.23483028,2085,5400,51.73,,
1.7,6.4,91.9,6.646390515,8.71604405,1350,5300,35.81,1.655,97.4
3.7,6.2,90.1,7.696212639,9.937888979,423,5900,11.94,1.437,
5.5,6.4,88.1,7.919356191,10.59663473,295,6800,7.16,1.368,
6.7,6.6,86.7,8.29404964,9.350102314,576,4300,18.3,1.285,
7.4,6.4,86.2,8.29404964,9.425451752,532,4500,17.51,1.225,75.1
9.7,6.4,83.9,9.918376165,11.42190607,36,3150,2.79,0.902,106.5
12.2,6.3,81.5,6.234410726,7.326465614,856,1750,55.7,,
12.8,6.4,80.8,5.438079309,6.131226489,,,,,
13.5,6.5,80,4.382026635,5.736572297,,,,,
8.8,7.1,84.1,9.047821442,10.7254676,70,3750,3.82,,
9.3,7.1,83.6,9.480367509,11.31325427,38,4100,3.1,,
9.8,6.9,83.3,8.961879013,9.701983176,74,1750,5.41,,
10.3,7.1,82.6,7.467371067,7.60090246,100,240,7.96,,
0,7.4,92.6,6.086774727,8.888756748,1472,7100,35.01,1.838,75.8
0.7,7.4,91.9,5.598421959,8.340456013,1422,4100,38.99,,97.8
2.4,7.3,90.3,5.298317367,9.076808979,947,5700,23.87,,98.2
3.3,7.3,89.4,7.244227516,10.06900199,317,5000,9.55,1.47,103.1
4.5,7.4,88.1,7.377758908,9.319194777,877,5200,16.71,,104.6
5.3,7.6,87.1,7.34601021,9.350102314,740,5340,18.3,1.23,85.1
7.2,7.5,85.3,7.824046011,9.332558005,492,3300,13.53,1.058,85.1
8.2,7.6,84.2,8.517193191,9.975808214,91,2650,5.33,,103.6
8.6,7.5,83.9,8.699514748,10.32548196,46,2040,2.79,,106.5
9.5,7.2,83.3,8.699514748,9.532423871,127,2420,7.96,0.811,122.3
10,7.5,82.5,7.863266724,8.630521877,282,2050,18.3,,135.1
10.9,7.4,81.7,7.064759028,7.955074273,508,1950,37.4,0.585,143
0,8.6,91.4,5.560681631,7.565275282,1582,1800,53.32,1.613,99.8
0.9,8.9,90.2,6.633318433,9.047821442,1100,5500,34.22,1.521,98.2
1.6,8.8,89.6,7.003065459,9.510444964,765,6100,17.51,,95
2.6,8.8,88.6,7.170119543,8.354674262,1044,2700,30.24,1.085,90
3.6,8.8,87.6,6.802394763,9.088172738,870,4100,19.89,,89
4.5,8.8,86.7,7.45007957,8.603370888,383,2900,19.89,1.074,95.4
5,8.7,86.3,7.244227516,8.026170195,248,880,15.92,,
6.3,8.9,84.8,7.560080465,8.999619341,223,2600,11.14,,
7.4,9.1,83.5,7.863266724,9.417354541,171,2930,9.55,0.81,116.9
7.9,8.9,83.2,7.882314919,9.449357272,233,3450,11.94,,128.1
9,8.8,82.2,7.696212639,8.527143522,402,2450,24.67,0.557,144.8
9.9,9,81.1,6.476972363,7.390181428,,,,0.414,163.9
10.7,8.5,80.8,5.438079309,6.579251212,,,,0.336,178.5
11.5,8.8,79.7,3.135494216,3.401197382,,,,,
0,11.6,88.4,6.396929655,7.783224016,,,,1.577,99.2
0.6,11.5,87.9,6.802394763,9.674074388,,,,1.441,
1.5,11.3,87.2,7.003065459,9.273315171,,,,1.32,89.8
2.4,11.6,86,6.579251212,8.289037098,,,,,
3.2,11.8,85,7.047517221,9.024010794,,,,1.084,98.4
4.1,11.6,84.3,7.003065459,8.648221454,,,,,
5,11.7,83.3,7.170119543,8.832003931,,,,0.732,130.6
5.8,11.4,82.8,7.377758908,8.342839804,,,,,
6.6,11.4,82,7.029972912,7.855544678,,,,0.404,156.2
0,13.3,86.7,5.940171253,9.409191231,,,,1.383,
0.8,13.2,86,5.991464547,9.195226734,,,,,91.3
1.6,13.4,85,6.461468176,9.190137665,,,,1.235,94.4
2.4,13.1,84.5,6.633318433,8.867850063,,,,,
3.3,13.1,83.6,6.70930434,8.648221454,,,,0.737,128.5
4,13.6,82.4,7.114769448,8.594154233,,,,,
5,13.7,81.3,6.173786104,6.966024187,,,,0.272,160.2
